2023-12-28 00:47:04.101 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 920230
2023-12-28 00:47:04.103 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 921202
2023-12-28 00:47:04.104 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 940037
2023-12-28 00:49:38.561 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 122543
2023-12-28 00:49:38.565 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 122550
2023-12-28 00:49:38.565 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 122550
2023-12-28 00:51:53.306 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 128709
2023-12-28 00:51:53.312 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 128738
2023-12-28 00:51:53.316 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 128755
2023-12-28 00:56:15.585 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 172025
2023-12-28 00:56:15.590 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 172376
2023-12-28 00:56:15.598 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 178162
2023-12-28 00:56:15.599 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 174644
2023-12-28 00:56:15.605 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 178175
2023-12-28 00:58:27.433 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 84687
2023-12-28 00:58:27.433 DruidAbstractDataSource.testConnectionInternal:1481 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, jdbcUrl : jdbc:mysql://localhost:3306/tams?useSSL=true&useUnicode=true&characterEncoding=utf-8&serverTimezone=Asia/Shanghai, lastPacketReceivedIdleMillis : 84328
